artist,song,link,text
ABBA,We Wish You A Merry Christmas,/a/abba/we+wish+you+a+merry+christmas_20755361.html,"We wish you a merry Christmas  
We wish you a merry Christmas  
We wish you a merry Christmas  
And a happy New Year  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We want some milk and cookies  
We want some milk and cookies  
We want some milk and cookies  
Please bring it right here  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We won't go until we get some  
We won't go until we get some  
We won't go until we get some  
So bring it out here  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year  
  
We wish you a Merry Christmas  
We wish you a Merry Christmas  
We wish you a Merry Christmas  
And a happy New Year  
Glad tidings we bring  
To you and your kin  
Glad tidings for Christmas  
And a happy New Year

"
Grateful Dead,Ramble On Rose,/g/grateful+dead/ramble+on+rose_20062373.html,"Just like jack the ripper, just like mojo hand,  
Just like billy Sunday, in a shotgun ragtime band,  
Just like New York city, just like Jericho,  
Pace the halls and climb the walls and get out when they blow.  
  
Did you say your name was ramblin' rose?  
Ramble on baby, settle down easy  
Ramble on rose.  
  
Just like Jack and Jill, mama told the jailer  
One hear up, and one cool down, leave nothin' for the tailor.  
Just like Jack and Jill, papa told the jailer  
One go up, and one go down, do yourself a favor.  
  
Did you say your name was ramblin' rose?  
Ramble on baby, settle down easy  
Ramble on rose.  
  
I'm gonna to sing you a hundred verses in ragtime,  
I know this song it ain't never gonna end.  
I'm gonna march you up and down along the county line,  
Take you to the leader of a band.  
  
Just like crazy Otto, just like wolfman jack,  
Sittin' plush with a royal flush, aces back to back.  
Just like Mary Shelly, just like Frankenstein,  
Clank your chains and count your change and try to walk the line.  
  
Did you say your name was ramblin' rose?  
Ramble on baby, settle down easy  
Ramble on rose.  
  
I'm gonna to sing you a hundred verses in ragtime,  
I know this song it ain't never gonna end.  
I'm gonna march you up and down along the county line,  
Take you to the leader of a band.  
  
Good-bye mama and papa  
Good-bye Jack and Jill  
The grass ain't greener  
The wine ain't sweeter  
Either side of the hill.  
  
Did you say your name was ramblin' rose?  
Ramble on baby, settle down easy  
Ramble on rose.

"
Adam Sandler,Bad Boyfriend,/a/adam+sandler/bad+boyfriend_20003946.html,"Why don't you pick up after your done?  
I'm not your slave  
I'm not your mother  
I'm not your maid  
I mean I've got a life too  
So fuck you!  
  
Why can't you be nicer to my friend?  
They're gonna be here soon  
Last time they were here  
You just sat in the bedroom  
Friday you went out with your fat friend Lou  
Fuck you!  
  
Why don't you ever ask about my Chinese cooking class?  
I only took it 'cause you like moo shu  
Fuck you!  
  
I'm sorry honey, about the way I've been acting lately  
Fuck you!  
  
Don't be like that, we'll visit your mom when I get some time off  
Fuck you!  
  
I had the beer at work, for God's sake  
Fuck you!  
  
By the way, would it be cool to go golfing tomorrow?  
Fuck you!  
  
I was just kidding, I want to hang out with you  
Why don't you ever take me to a play?  
Or a museum?  
There's an art gallery two blocks away  
And we've never been there  
We always do what you want to do  
Fuck you!  
  
You didn't notice  
I got new throw pillows for the sofa  
You didn't notice I had the kitched painted blue  
Why don't you notice all those guys looking at me?  
You take me for granted  
Do you know there's a guy at work that always asks me out to lunch?  
I always try to look my best and you should too  
Fuck you!  
  
Why won't I ever get out of this relationship?  
You're such a jerk  
The only thing you do right is  
Tell me that you love me  
Well, I guess I love you too  
But fuck you!  
Seriously

"
Marillion,Torch Song,/m/marillion/torch+song_20088848.html,"Read some Kerouac and it put me on the tracks to burn a little brighter now  
Something about roman candles fizzing out, shine a little light on me now  
Found a strange fascination with a liquid fixation, alcohol can thrill me now  
It's getting late in the game to show any pride or shame  
I just burn a little brighter now, burn a little brighter now  
  
Doctor says my liver looks like leaving with my lover, need another time-out
now  
Like any sort of hero turning down to zero still standing out in any crowd  
  
Pulling seventeen with experience and dreams, sweating out a happy hour  
Where you're hiding 29 you know it ain't a crime  
To burn a little brighter now, burn a little brighter now  
  
Dr. Finlay: ""And my advice is if you maintain this lifestyle  
you won't reach 30""  
  
Torch: ""Christ - it's a romantic way to go really, it's part  
of the heritage, it's your round i'n'it?""  
  
We burn a little brighter now  
  
Read some Kerouac and it put me on the tracks to burn a little brighter now  
It was something about roman candles fizzing out, shine a little light on me
now  
Found a strange fascination with a liquid fixation, alcohol thrill me now  
Getting late in the game to show any pride or shame  
Burn a little brighter now, we burn a little brighter now  
We burn a little brighter now

"
Oscar Hammerstein,You'll Never Walk Alone,/o/oscar+hammerstein/youll+never+walk+alone_20907459.html,"(Nettie)  
When you walk through a storm  
Keep your chin up high  
And don't be afraid of the dark  
  
When you walk through a storm  
Keep your chin up high  
And don't be afraid of the dark  
At the end of the storm  
Is a golden sky  
And the sweet, silver song of the lark  
  
(Chorus sings with Nettie)  
  
Walk on through the wind  
Walk on through the rain  
Though your dreams be tossed and blown  
Walk on, walk on with hope in your heart  
And you'll never walk alone  
You'll never walk alone

"
Bee Gees,It's My Neighbourhood,/b/bee+gees/its+my+neighbourhood_20833482.html,"Don't get too close to me, don't overreact  
You're not the enemy as a matter of fact  
You got your pretty face and you got any name you wore  
Gonna stick by you, gonna stumble over what to do  
  
I want it, good loving, wanna be your plaything  
I want it, good loving, bring out the beast in me  
I want it, good loving,wanna make your heart sing  
In the shadows we are free and I walk you through it  
  
It's my neighborhood, that's where I belong  
You're in trouble if you disagree with me  
It's my neighborhood, that's where I belong  
You find out why  
  
It's my neighborhood, that's where I belong  
You're in trouble if you disagree with me  
It's my neighborhood, that's where I belong  
You find out why  
  
So many tell you that you can't win  
It's a battle if you're lonely or if you're starting over  
Two-fisted and fast on your feet  
And you know there's something more  
And the city kicks it out of you and  
  
I want it, good loving, wanna be your plaything  
I want it, good loving, bring out the worst in me  
I want it, good loving, wanna make your heart sing  
In the shadows we are free and I walk you through it  
  
It's my neighborhood, that's where I belong  
You're in trouble if  
(Trouble)  
You disagree with me  
It's my neighborhood, that's where I belong  
You find out why

"
Barbra Streisand,For Pete's Sake,/b/barbra+streisand/for+petes+sake_10023716.html,"People are born to love and be happy  
Living a sunshine  
And a cloudy sky can lead to a rainbow  
Lookin' at life that way  
  
[Chorus:]  
If you're lucky to find a special man  
You gotta love him all you can  
And anything he wants from you  
Should be the least that you can do  
Don't let him down  
Just give him love  
Don't let his dreams turn into dust  
He's only tryin' to build a wonderland for two  
If you're the one to share his world  
Just be the someone he can trust  
For the sake of love  
For the love of love  
For pete's sake  
Don't let him down  
Don't let him down  
  
You can live in a castle  
And dream of your diamonds  
Thinkin' you really walk tall  
But livin' and dreamin' when you're alone  
Ain't livin' or dreamin' at all  
  
(repeat chorus to fade)

"
Pat Benatar,Please Come Home For Christmas,/p/pat+benatar/please+come+home+for+christmas_20104884.html,"Bells will be ringing, the glad - glad news  
For what a Christmas to have the blues  
My baby's gone and I have no friends  
To wish me greetings once again  
  
Oh, crowds will be singing Silent Night  
Christmas carols by candlelight  
  
Please come home for Christmas  
Please come home for Christmas  
If not for Christmas, by New Year's night  
  
Friends and relations, send salutations  
As sure as the stars shine above  
Yes it's Christmas, Christmas my dear  
It's the time of the year, time of the year  
To be with the one you, the one you really love  
  
Oh won't you tell me, we'll never grow old  
  
Christmas and New Years will find you home  
They'll be no more sorrow, no more grief and pain  
Because I'll be happy that it's Christmas once again  
  
Please come home for Christmas baby  
They'll be no more sorrow, no more grief and pain  
Because I'll be happy, Lord I'll be so happy  
Happy once again

"
Frank Sinatra,Don't Fence Me In,/f/frank+sinatra/dont+fence+me+in_20055814.html,"Oh give me land, lots of land, and the starry skies above, don't fence me in.  
Let me ride through the wide open country that I love, don't fence me in.  
Oh let me be by myself in the evening breeze,  
And listen to the murmur of the cottonwood trees,  
Send me off forever but I ask you please, don't fence me in.  
  
Just turn me loose and I'll straddle on my saddle underneath the western
skies.  
On my cayuse let me wander over yonder till I see the mountains rise.  
Oh let me ride to the ridge where the west commences,  
Gaze at the moon till I lose my senses,  
Can't look at hobbles and I can't stand fences, don't fence me in.

"
Train,All American Girl,/t/train/all+american+girl_10235608.html,"To be that good, it must be taxin'  
No such thing as satisfaction  
You're makin' things happen while I'm relaxin'  
Like a Sunday afternoon  
My dad used to tell me I was lazy  
I got dance moves like Patrick Swayze  
I'm the left over turkey for the world's mayonnaise  
The star next to the moon  
  
Now I know I'm just here to amuse you  
And I don't mean to abuse you  
But if I could just use you one time  
  
Tell me what it's like  
To be the queen of it all  
The Neiman Marcus of the Mall  
And tell me what it's like to be the one and only  
All American Girl  
  
Now I never had a supernatural feelin'  
Not to mention a sexual healin'  
But every now and then I get to the kneelin'  
To thank him for it all  
But you probably got some inside connection  
So many numbers that you gotta rolodex them  
So much muscle that you never gotta flex them  
To catch you when you fall  
  
And I know I'm just here to amuse you  
And I don't mean to confuse you  
But if I could just use you one more time  
  
Tell me what it's like to be the house on the hill  
The number one diet pill  
And tell me what it's like to be the one and only  
All American Girl  
  
Now I bet you won't say you get crazy  
Or that you don't shave your legs  
When you're lazy  
Or that you're just like everybody else in the world  
You just got lucky, that's all  
  
And I know you're not here to amuse me  
But you sure know how to confuse me  
So if I could just ask you once again  
  
To tell me what it's like to be a star on the rise  
A breakfast cereal prize  
And tell me what it's like to be the one and only  
All American Girl  
The All American Girl  
The all amazing crazy girl

"
